rank,candidate_id,stage,template_id,variant,field_window,return_window,alpha_id,sharpe,fitness,turnover,returns,drawdown,ranking_score,max_abs_pnl_corr,expression
1,b4498ca3053a,stage1_parameter_sweep,signed_gap,base_ts_rank,7,10,WjAv9LeG,1.79,0.82,0.4646,0.0979,0.069,0.977778,0.83759611765799,"group_neutralize(ts_rank(sign(short_term_price_change_2 - short_term_price_change), 7) * (1 - ts_rank(returns, 10)), industry)"
2,62a9ac15f78e,stage2_operator_nesting,A_plus_B,dual_rank,2,15,QPGwGP6G,1.7,0.83,0.3751,0.0886,0.0615,0.923264,0.8221691836179399,"group_neutralize(rank(ts_rank((short_term_price_change_2 + short_term_price_change), 2)) * rank(1 - ts_rank(returns, 15)), industry)"
3,2e13a76ffbef,stage1_parameter_sweep,signed_gap,base_ts_rank,9,30,kqPz3xdg,1.49,0.71,0.3774,0.0862,0.0701,0.817708,0.83759611765799,"group_neutralize(ts_rank(sign(short_term_price_change_2 - short_term_price_change), 9) * (1 - ts_rank(returns, 30)), industry)"
4,70a1b48909b4,stage2_operator_nesting,signed_gap,rank_signal,7,15,rK2ZPrzJ,1.53,0.67,0.3683,0.0704,0.0597,0.801042,0.0,"group_neutralize(rank(ts_rank(sign(short_term_price_change_2 - short_term_price_change), 7)) * (1 - ts_rank(returns, 15)), industry)"
5,4963bc0af822,stage1_parameter_sweep,A_plus_B,base_ts_rank,2,15,2rp37LYJ,1.55,0.67,0.3497,0.0646,0.0667,0.785417,0.0,"group_neutralize(ts_rank((short_term_price_change_2 + short_term_price_change), 2) * (1 - ts_rank(returns, 15)), industry)"
6,b66b73b03736,stage2_operator_nesting,signed_gap,dual_rank,7,15,gJ8nQ2JQ,1.5,0.65,0.3705,0.0702,0.0617,0.775,0.0,"group_neutralize(rank(ts_rank(sign(short_term_price_change_2 - short_term_price_change), 7)) * rank(1 - ts_rank(returns, 15)), industry)"
7,91cb7b04142f,stage1_parameter_sweep,max_A_B,base_ts_rank,3,25,88pMOApa,1.57,0.7,0.3142,0.0617,0.0455,0.756944,0.8221691836179399,"group_neutralize(ts_rank(max(short_term_price_change_2, short_term_price_change), 3) * (1 - ts_rank(returns, 25)), industry)"
8,e64545ad9345,stage1_parameter_sweep,A_plus_B,base_ts_rank,2,25,GrGZEJmQ,1.52,0.66,0.3426,0.0653,0.0663,0.745139,0.0,"group_neutralize(ts_rank((short_term_price_change_2 + short_term_price_change), 2) * (1 - ts_rank(returns, 25)), industry)"
9,c55cfbf1e77f,stage1_parameter_sweep,absolute_gap,base_ts_rank,3,20,rK2ZbE1J,1.44,0.54,0.386,0.0548,0.0773,0.732639,0.0,"group_neutralize(ts_rank(abs(short_term_price_change_2 - short_term_price_change), 3) * (1 - ts_rank(returns, 20)), industry)"
10,9b6d224bc6c5,stage2_operator_nesting,signed_gap,dual_rank,10,10,blQeQebq,1.49,0.64,0.3214,0.0589,0.0376,0.710417,0.0,"group_neutralize(rank(ts_rank(sign(short_term_price_change_2 - short_term_price_change), 10)) * rank(1 - ts_rank(returns, 10)), industry)"
