alpha_id,sharpe,fitness,returns,turnover,expression,description
RRmwvAa1,1.9600,0.8500,0.085200,0.458100,"group_neutralize(rank(ts_rank(short_term_price_change_2; 3)) * rank(1 - ts_rank(returns; 20)); industry)","Step3.5: Dual rank + neutralize(industry) | CMF=3; Rev=20"
gJ8V5Lxe,1.9500,0.8400,0.084800,0.457700,"group_neutralize(rank(ts_rank(short_term_price_change_2; 3)) * rank(1 - ts_rank(returns; 20)); subindustry)","Step3.5: Dual rank + neutralize(subindustry) | CMF=3; Rev=20"
88pxxpdW,1.9300,0.8600,0.090400,0.452800,"group_neutralize(rank(ts_rank(short_term_price_change_2; 3)) * rank(1 - ts_rank(returns; 60)); industry)","Step3.5: Dual rank + neutralize(industry) | CMF=3; Rev=60"
vRNX79Aw,1.9300,0.8600,0.090100,0.452500,"group_neutralize(rank(ts_rank(short_term_price_change_2; 3)) * rank(1 - ts_rank(returns; 60)); subindustry)","Step3.5: Dual rank + neutralize(subindustry) | CMF=3; Rev=60"
A1G8oQ1Q,1.8700,0.8100,0.075700,0.406300,"group_neutralize(rank(ts_rank(short_term_price_change_2; 5)) * rank(1 - ts_rank(returns; 20)); industry)","Step3.5: Dual rank + neutralize(industry) | CMF=5; Rev=20"
88pWm3Pl,1.8700,0.8100,0.075400,0.406000,"group_neutralize(rank(ts_rank(short_term_price_change_2; 5)) * rank(1 - ts_rank(returns; 20)); subindustry)","Step3.5: Dual rank + neutralize(subindustry) | CMF=5; Rev=20"
d5ZJ50ex,1.8700,0.8400,0.080700,0.401900,"group_neutralize(rank(ts_rank(short_term_price_change_2; 5)) * rank(1 - ts_rank(returns; 60)); industry)","Step3.5: Dual rank + neutralize(industry) | CMF=5; Rev=60"
KPGMZed1,1.8600,0.7500,0.077000,0.473100,"group_neutralize(rank(ts_rank(short_term_price_change_2; 3)) * rank(1 - ts_rank(returns; 10)); industry)","Step3.5: Dual rank + neutralize(industry) | CMF=3; Rev=10"
0mpZOQzk,1.8600,0.8300,0.080400,0.401600,"group_neutralize(rank(ts_rank(short_term_price_change_2; 5)) * rank(1 - ts_rank(returns; 60)); subindustry)","Step3.5: Dual rank + neutralize(subindustry) | CMF=5; Rev=60"
blQ1Klxq,1.8500,0.7500,0.076800,0.472800,"group_neutralize(rank(ts_rank(short_term_price_change_2; 3)) * rank(1 - ts_rank(returns; 10)); subindustry)","Step3.5: Dual rank + neutralize(subindustry) | CMF=3; Rev=10"
omN0k9Jk,1.8000,0.7000,0.065200,0.429200,"group_neutralize(ts_rank(short_term_price_change_2; 3) * (1 - ts_rank(returns; 20)); industry)","Step3.3: group_neutralize(industry) | CMF=3; Rev=20"
3qpvkA6P,1.7900,0.7000,0.064800,0.425700,"ts_rank(short_term_price_change_2; 3) * (1 - ts_rank(returns; 20))","Param: CMF_window=3; Reversal_window=20"
blQ1gdll,1.7900,0.7000,0.064800,0.428900,"group_neutralize(ts_rank(short_term_price_change_2; 3) * (1 - ts_rank(returns; 20)); subindustry)","Step3.3: group_neutralize(subindustry) | CMF=3; Rev=20"
58pdPVv5,1.7800,0.7300,0.064100,0.380500,"group_neutralize(ts_rank(short_term_price_change_2; 5) * (1 - ts_rank(returns; 20)); industry)","Step3.3: group_neutralize(industry) | CMF=5; Rev=20"
ak19zZOW,1.7700,0.7300,0.063600,0.377400,"ts_rank(short_term_price_change_2; 5) * (1 - ts_rank(returns; 20))","Param: CMF_window=5; Reversal_window=20"
E5GPPaRR,1.7700,0.7000,0.066300,0.424800,"group_neutralize(ts_rank(short_term_price_change_2; 3) * (1 - ts_rank(returns; 60)); industry)","Step3.3: group_neutralize(industry) | CMF=3; Rev=60"
rK2a1QQm,1.7700,0.7200,0.063700,0.380200,"group_neutralize(ts_rank(short_term_price_change_2; 5) * (1 - ts_rank(returns; 20)); subindustry)","Step3.3: group_neutralize(subindustry) | CMF=5; Rev=20"
qMNJYObv,1.7600,0.7000,0.066100,0.421200,"ts_rank(short_term_price_change_2; 3) * (1 - ts_rank(returns; 60))","Param: CMF_window=3; Reversal_window=60"
YPv3Pd9v,1.7600,0.7400,0.065700,0.375300,"group_neutralize(ts_rank(short_term_price_change_2; 5) * (1 - ts_rank(returns; 60)); industry)","Step3.3: group_neutralize(industry) | CMF=5; Rev=60"
N1blzmoL,1.7500,0.7300,0.065400,0.372200,"ts_rank(short_term_price_change_2; 5) * (1 - ts_rank(returns; 60))","Param: CMF_window=5; Reversal_window=60"
omN0j1Ev,1.7500,0.6900,0.065900,0.424500,"group_neutralize(ts_rank(short_term_price_change_2; 3) * (1 - ts_rank(returns; 60)); subindustry)","Step3.3: group_neutralize(subindustry) | CMF=3; Rev=60"
d5ZrMR1E,1.7500,0.7100,0.068000,0.417500,"group_neutralize(rank(ts_rank(short_term_price_change_2; 5)) * rank(1 - ts_rank(returns; 10)); industry)","Step3.5: Dual rank + neutralize(industry) | CMF=5; Rev=10"
VkGbW21Y,1.7500,0.7100,0.067800,0.417200,"group_neutralize(rank(ts_rank(short_term_price_change_2; 5)) * rank(1 - ts_rank(returns; 10)); subindustry)","Step3.5: Dual rank + neutralize(subindustry) | CMF=5; Rev=10"
wpa7p7Z5,1.7500,0.7300,0.065300,0.374900,"group_neutralize(ts_rank(short_term_price_change_2; 5) * (1 - ts_rank(returns; 60)); subindustry)","Step3.3: group_neutralize(subindustry) | CMF=5; Rev=60"
leWwX2aO,1.6900,0.7600,0.066500,0.330300,"group_neutralize(rank(ts_rank(short_term_price_change_2; 10)) * rank(1 - ts_rank(returns; 60)); industry)","Step3.5: Dual rank + neutralize(industry) | CMF=10; Rev=60"
9qp50eLd,1.6900,0.7600,0.066300,0.330000,"group_neutralize(rank(ts_rank(short_term_price_change_2; 10)) * rank(1 - ts_rank(returns; 60)); subindustry)","Step3.5: Dual rank + neutralize(subindustry) | CMF=10; Rev=60"
QPGpRxjp,1.6800,0.6600,0.059900,0.391000,"group_neutralize(ts_rank(short_term_price_change_2; 5) * (1 - ts_rank(returns; 10)); industry)","Step3.3: group_neutralize(industry) | CMF=5; Rev=10"
wpak2Lb5,1.6700,0.6200,0.060000,0.435600,"ts_rank(short_term_price_change_2; 3) * (1 - ts_rank(returns; 10))","Param: CMF_window=3; Reversal_window=10"
gJ8Vgd3l,1.6700,0.6600,0.059700,0.387800,"ts_rank(short_term_price_change_2; 5) * (1 - ts_rank(returns; 10))","Param: CMF_window=5; Reversal_window=10"
O0GXVlwJ,1.6700,0.6200,0.060200,0.439200,"group_neutralize(ts_rank(short_term_price_change_2; 3) * (1 - ts_rank(returns; 10)); industry)","Step3.3: group_neutralize(industry) | CMF=3; Rev=10"
2rpog2L5,1.6700,0.6500,0.059600,0.390700,"group_neutralize(ts_rank(short_term_price_change_2; 5) * (1 - ts_rank(returns; 10)); subindustry)","Step3.3: group_neutralize(subindustry) | CMF=5; Rev=10"
blQ0kmQp,1.6700,0.7200,0.062300,0.334200,"group_neutralize(rank(ts_rank(short_term_price_change_2; 10)) * rank(1 - ts_rank(returns; 20)); industry)","Step3.5: Dual rank + neutralize(industry) | CMF=10; Rev=20"
ak1mZwb2,1.6700,0.7200,0.062000,0.334000,"group_neutralize(rank(ts_rank(short_term_price_change_2; 10)) * rank(1 - ts_rank(returns; 20)); subindustry)","Step3.5: Dual rank + neutralize(subindustry) | CMF=10; Rev=20"
leWPG00e,1.6600,0.7300,0.059000,0.303300,"ts_rank(short_term_price_change_2; 10) * (1 - ts_rank(returns; 60))","Param: CMF_window=10; Reversal_window=60"
XgoAMbg1,1.6600,0.6100,0.059800,0.438900,"group_neutralize(ts_rank(short_term_price_change_2; 3) * (1 - ts_rank(returns; 10)); subindustry)","Step3.3: group_neutralize(subindustry) | CMF=3; Rev=10"
rK2a32EJ,1.6600,0.7100,0.057000,0.311900,"group_neutralize(ts_rank(short_term_price_change_2; 10) * (1 - ts_rank(returns; 20)); industry)","Step3.3: group_neutralize(industry) | CMF=10; Rev=20"
wpa7MbwY,1.6600,0.7300,0.059000,0.305800,"group_neutralize(ts_rank(short_term_price_change_2; 10) * (1 - ts_rank(returns; 60)); industry)","Step3.3: group_neutralize(industry) | CMF=10; Rev=60"
gJ8VGMZv,1.6500,0.7100,0.056900,0.309400,"ts_rank(short_term_price_change_2; 10) * (1 - ts_rank(returns; 20))","Param: CMF_window=10; Reversal_window=20"
wpa7go51,1.6500,0.7200,0.058700,0.305500,"group_neutralize(ts_rank(short_term_price_change_2; 10) * (1 - ts_rank(returns; 60)); subindustry)","Step3.3: group_neutralize(subindustry) | CMF=10; Rev=60"
WjArQ7qd,1.6400,0.7000,0.056600,0.311600,"group_neutralize(ts_rank(short_term_price_change_2; 10) * (1 - ts_rank(returns; 20)); subindustry)","Step3.3: group_neutralize(subindustry) | CMF=10; Rev=20"
MPGNeAr9,1.6300,0.5700,0.054400,0.445700,"ts_rank(short_term_price_change_2; 3) * (1 - ts_rank(returns; 5))","Param: CMF_window=3; Reversal_window=5"
ak19QR8x,1.6300,0.6000,0.054200,0.399000,"ts_rank(short_term_price_change_2; 5) * (1 - ts_rank(returns; 5))","Param: CMF_window=5; Reversal_window=5"
88pxYQ1o,1.6200,0.7800,0.055900,0.240900,"ts_rank(short_term_price_change_2; 22) * (1 - ts_rank(returns; 60))","Param: CMF_window=22; Reversal_window=60"
GrG5jra0,1.5900,0.5500,0.053400,0.441300,"group_rank(ts_rank(short_term_price_change_2; 3) * (1 - ts_rank(returns; 60)); subindustry)","Step3.2: group_rank(subindustry) | CMF=3; Rev=60"
d5Zrzzng,1.5800,0.7300,0.053300,0.247500,"ts_rank(short_term_price_change_2; 22) * (1 - ts_rank(returns; 20))","Param: CMF_window=22; Reversal_window=20"
9qpO3L1x,1.5700,0.5300,0.051500,0.447300,"group_rank(ts_rank(short_term_price_change_2; 3) * (1 - ts_rank(returns; 20)); subindustry)","Step3.2: group_rank(subindustry) | CMF=3; Rev=20"
xANpGnol,1.5600,0.6400,0.052900,0.319100,"ts_rank(short_term_price_change_2; 10) * (1 - ts_rank(returns; 10))","Param: CMF_window=10; Reversal_window=10"
WjA2xWJx,1.5500,0.5300,0.052100,0.439600,"group_rank(ts_rank(short_term_price_change_2; 3) * (1 - ts_rank(returns; 20)); industry)","Step3.2: group_rank(industry) | CMF=3; Rev=20"
JjGJA6Xl,1.5500,0.5400,0.050500,0.410900,"group_rank(ts_rank(short_term_price_change_2; 5) * (1 - ts_rank(returns; 10)); subindustry)","Step3.2: group_rank(subindustry) | CMF=5; Rev=10"
rK2a1qad,1.5500,0.5800,0.053200,0.377400,"group_rank(ts_rank(short_term_price_change_2; 5) * (1 - ts_rank(returns; 60)); industry)","Step3.2: group_rank(industry) | CMF=5; Rev=60"
