alpha_id,combined_score,sharpe,fitness,returns,turnover,expression,description
RRmwvAa1,2.8100,1.9600,0.8500,0.085200,0.458100,"group_neutralize(rank(ts_rank(short_term_price_change_2; 3)) * rank(1 - ts_rank(returns; 20)); industry)","Step3.5: Dual rank + neutralize(industry) | CMF=3; Rev=20"
gJ8V5Lxe,2.7900,1.9500,0.8400,0.084800,0.457700,"group_neutralize(rank(ts_rank(short_term_price_change_2; 3)) * rank(1 - ts_rank(returns; 20)); subindustry)","Step3.5: Dual rank + neutralize(subindustry) | CMF=3; Rev=20"
88pxxpdW,2.7900,1.9300,0.8600,0.090400,0.452800,"group_neutralize(rank(ts_rank(short_term_price_change_2; 3)) * rank(1 - ts_rank(returns; 60)); industry)","Step3.5: Dual rank + neutralize(industry) | CMF=3; Rev=60"
vRNX79Aw,2.7900,1.9300,0.8600,0.090100,0.452500,"group_neutralize(rank(ts_rank(short_term_price_change_2; 3)) * rank(1 - ts_rank(returns; 60)); subindustry)","Step3.5: Dual rank + neutralize(subindustry) | CMF=3; Rev=60"
d5ZJ50ex,2.7100,1.8700,0.8400,0.080700,0.401900,"group_neutralize(rank(ts_rank(short_term_price_change_2; 5)) * rank(1 - ts_rank(returns; 60)); industry)","Step3.5: Dual rank + neutralize(industry) | CMF=5; Rev=60"
0mpZOQzk,2.6900,1.8600,0.8300,0.080400,0.401600,"group_neutralize(rank(ts_rank(short_term_price_change_2; 5)) * rank(1 - ts_rank(returns; 60)); subindustry)","Step3.5: Dual rank + neutralize(subindustry) | CMF=5; Rev=60"
A1G8oQ1Q,2.6800,1.8700,0.8100,0.075700,0.406300,"group_neutralize(rank(ts_rank(short_term_price_change_2; 5)) * rank(1 - ts_rank(returns; 20)); industry)","Step3.5: Dual rank + neutralize(industry) | CMF=5; Rev=20"
88pWm3Pl,2.6800,1.8700,0.8100,0.075400,0.406000,"group_neutralize(rank(ts_rank(short_term_price_change_2; 5)) * rank(1 - ts_rank(returns; 20)); subindustry)","Step3.5: Dual rank + neutralize(subindustry) | CMF=5; Rev=20"
KPGMZed1,2.6100,1.8600,0.7500,0.077000,0.473100,"group_neutralize(rank(ts_rank(short_term_price_change_2; 3)) * rank(1 - ts_rank(returns; 10)); industry)","Step3.5: Dual rank + neutralize(industry) | CMF=3; Rev=10"
blQ1Klxq,2.6000,1.8500,0.7500,0.076800,0.472800,"group_neutralize(rank(ts_rank(short_term_price_change_2; 3)) * rank(1 - ts_rank(returns; 10)); subindustry)","Step3.5: Dual rank + neutralize(subindustry) | CMF=3; Rev=10"
